latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean
Aeschynanthus lobianus,Hanging,Bright light,Direct sunlight,Keep moist between watering. Can be a bit dry between watering,Hanging; Flower; Tertiary,32,14,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Adiantum raddianum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Ground cover; Table top,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Aechmea fatsiata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Agave angustilolia Marginata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,"toksyczna (podrażnienia, wymioty)","toksyczna (sok drażni skórę, oczy)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło
Aechmea ramosa,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Primary,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Aechmea fasciata,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Flower; Table top; Tertiary,30,12,nietoksyczna,może powodować lekkie podrażnienia,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Agave filifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, układu pokarmowego)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło
Adiantum hispidulum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Agave attenuata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,5,toksyczna (problemy żołądkowe),"toksyczna (sok drażniący, oparzenia)",Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło
Aglaonema,Aglaonema,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary; Tertiary,28,18,"toksyczna (szczypanie pyska, ślinotok, wymioty)","toksyczna (zawiera szczawiany wapnia, podrażnienia jamy ustnej)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Agave verschaffeltii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Agave striata,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary; Secondary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Alocasia nebula Imperialis,Other,Bright light,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,"toksyczna (ciężkie objawy, szczawiany wapnia)","toksyczna (oparzenia jamy ustnej, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Allamanda nerifolia,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Flower,30,10,"toksyczna (biegunka, wymioty)","toksyczna (drażniąca, przeczyszczająca)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
Aspidistra elatior,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Anthurium superbum,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Colors / Forms; Secondary,28,18,"toksyczna (podrażnienia jamy ustnej, wymioty)","toksyczna (szczawiany wapnia – pieczenie ust, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Caryota mitis,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,25,10,"toksyczna (podrażnienia, wymioty)","toksyczna (szczawiany, podrażnienia ust)",Toleruje chłód,Wrażliwa na upał,0,0,Palma / drzewko ozdobne,Rozproszone światło
Codiaeum petra,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,10,"toksyczna (kontakt ze skórą – wysypka, wymioty)","toksyczna (sok drażniący, biegunka, wymioty)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Cereus peruvianus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,35,5,nietoksyczna,nietoksyczna (ostre kolce mechanicznie niebezpieczne),Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło
Blechnum gibbum,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Chamaedorea elegans,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,28,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Palma / drzewko ozdobne,Rozproszone światło
Calathea veitchiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Calathea pictura Argentea,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Bougainvillea,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Colors / Forms; Primary,32,10,nietoksyczna (kolce mogą ranić),nietoksyczna (kolce mogą ranić),Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
 Chamaedorea seifrizii,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
